SOURCE	TARGET	ENZYMES
C03242	C06429	3.1.2.2
C03242	C06428	3.1.2.2
C03242	C00249	3.1.2.2;6.2.1.3
C03242	C06426	3.1.2.2;6.2.1.3
C03242	C00219	3.1.2.2;6.2.1.3
C03242	C00712	3.1.2.2
C03242	C06427	3.1.2.2;6.2.1.3
C06426	C06429	3.1.2.2
C06426	C06428	3.1.2.2
C06426	C06427	3.1.2.2;6.2.1.3
C06426	C00712	3.1.2.2
C06426	C00219	3.1.2.2;6.2.1.3
C06426	C00249	3.1.2.2;6.2.1.3
C06429	C06427	3.1.2.2
C06429	C06428	3.1.2.2
C06429	C00219	3.1.2.2
C06429	C00712	3.1.2.2
C06429	C00249	3.1.2.2
C00219	C06427	3.1.1.4;3.1.2.2;6.2.1.3
C00219	C00249	;3.1.2.2;6.2.1.3
C00219	C00712	;3.1.2.2
C00219	C06428	3.1.2.2
C00249	C06427	3.1.2.2;6.2.1.3
C00249	C06428	3.1.2.2
C00249	C00712	;3.1.2.14;3.1.2.2
C00712	C06427	3.1.2.2
C00712	C06428	3.1.2.2
C16300	C06427	1.14.19.-
C06427	C06428	3.1.2.2
